s,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2,C,kW/m2
 1.550E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.703E+00, 5.679E+02, 2.500E+00, 6.557E+02, 2.292E+00, 7.642E+02, 0.000E+00
 1.560E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.692E+00, 5.679E+02, 2.466E+00, 6.557E+02, 2.254E+00, 7.642E+02, 0.000E+00
 1.570E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.643E+00, 5.679E+02, 2.440E+00, 6.557E+02, 2.216E+00, 7.642E+02, 0.000E+00
 1.580E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.590E+00, 5.679E+02, 2.417E+00, 6.557E+02, 2.178E+00, 7.642E+02, 0.000E+00
 1.590E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.536E+00, 5.679E+02, 2.394E+00, 6.557E+02, 2.139E+00, 7.642E+02, 0.000E+00
 1.600E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.482E+00, 5.679E+02, 2.372E+00, 6.557E+02, 2.100E+00, 7.642E+02, 0.000E+00
 1.610E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.428E+00, 5.679E+02, 2.349E+00, 6.557E+02, 2.052E+00, 7.642E+02, 0.000E+00
 1.620E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.374E+00, 5.679E+02, 2.326E+00, 6.557E+02, 2.002E+00, 7.642E+02, 0.000E+00
 1.630E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.320E+00, 5.679E+02, 2.303E+00, 6.557E+02, 1.951E+00, 7.642E+02, 0.000E+00
 1.640E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.265E+00, 5.679E+02, 2.280E+00, 6.557E+02, 1.901E+00, 7.642E+02, 0.000E+00
 1.650E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.210E+00, 5.679E+02, 2.257E+00, 6.557E+02, 1.850E+00, 7.642E+02, 0.000E+00
 1.660E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.155E+00, 5.679E+02, 2.234E+00, 6.557E+02, 1.800E+00, 7.642E+02, 0.000E+00
 1.670E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.100E+00, 5.679E+02, 2.211E+00, 6.557E+02, 1.749E+00, 7.642E+02, 0.000E+00
 1.680E+03, 4.454E+02, 0.000E+00, 4.926E+02, 2.044E+00, 5.679E+02, 2.188E+00, 6.557E+02, 1.698E+00, 7.642E+02, 0.000E+00
 1.690E+03, 4.454E+02, 0.000E+00, 4.926E+02, 1.989E+00, 5.679E+02, 2.165E+00, 6.557E+02, 1.647E+00, 7.642E+02, 0.000E+00
 1.700E+03, 4.454E+02, 0.000E+00, 4.926E+02, 1.933E+00, 5.679E+02, 2.141E+00, 6.557E+02, 1.596E+00, 7.642E+02, 0.000E+00
 1.710E+03, 4.454E+02, 0.000E+00, 4.926E+02, 1.877E+00, 5.679E+02, 2.118E+00, 6.557E+02, 1.545E+00, 7.642E+02, 0.000E+00
 1.720E+03, 4.454E+02, 0.000E+00, 4.926E+02, 5.447E-01, 5.679E+02, 2.095E+00, 6.557E+02, 1.494E+00, 7.642E+02, 0.000E+00
 1.730E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 1.198E+00, 6.557E+02, 1.443E+00, 7.642E+02, 0.000E+00
 1.740E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 1.392E+00, 7.642E+02, 0.000E+00
 1.750E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 1.341E+00, 7.642E+02, 0.000E+00
 1.760E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 1.290E+00, 7.642E+02, 0.000E+00
 1.770E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 1.238E+00, 7.642E+02, 0.000E+00
 1.780E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 4.620E-01, 7.642E+02, 0.000E+00
 1.790E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.800E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.810E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.820E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.830E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.840E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.850E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.860E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.870E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.880E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.890E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.900E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.910E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.920E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.930E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.940E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.950E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.960E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.970E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.980E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 1.990E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.000E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.010E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.020E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.030E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.040E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.050E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.060E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.070E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.080E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.090E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.100E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.110E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.120E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.130E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.140E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.150E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.160E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.170E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.180E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.190E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.200E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.210E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.220E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.230E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.240E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.250E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.260E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.270E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.280E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.290E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.300E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.310E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.320E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.330E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.340E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.350E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.360E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.370E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.380E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.390E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.400E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.410E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.420E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.430E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
 2.440E+03, 4.454E+02, 0.000E+00, 4.926E+02, 0.000E+00, 5.679E+02, 0.000E+00, 6.557E+02, 0.000E+00, 7.642E+02, 0.000E+00
